Class_path,Method_%,Method_fraction,Block_%,Block_fraction,Branch_%,Branch_fraction,Line_%,Line_fraction
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$17,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$18,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$19,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$20,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$21,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$22,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$8,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest$9,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatingFunctionTest,0,(0/6),0,(0/83),0,(0/16),0,(0/214)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatorTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatorTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\interpolation\TricubicInterpolatorTest,0,(0/5),0,(0/35),0,(0/12),0,(0/106)
org\apache\commons\math4\analysis\interpolation\UnivariatePeriodicInterpolatorTest,0,(0/6),0,(0/27),0,(0/14),0,(0/80)
org\apache\commons\math4\analysis\polynomials\PolynomialFunctionTest,0,(0/14),0,(0/20),0,(0/4),0,(0/119)
org\apache\commons\math4\analysis\polynomials\PolynomialSplineFunctionTest,0,(0/5),0,(0/31),0,(0/12),0,(0/73)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\polynomials\PolynomialsUtilsTest,0,(0/23),0,(0/107),0,(0/56),0,(0/187)
org\apache\commons\math4\analysis\solvers\BaseSecantSolverAbstractTest,0,(0/12),0,(0/69),0,(0/38),0,(0/104)
org\apache\commons\math4\analysis\solvers\BisectionSolverTest,0,(0/4),0,(0/7),0,(0/2),0,(0/38)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest$TestFunction,0,(0/6),0,(0/6),-,,0,(0/9)
org\apache\commons\math4\analysis\solvers\BracketingNthOrderBrentSolverTest,0,(0/12),0,(0/34),0,(0/12),0,(0/56)
org\apache\commons\math4\analysis\solvers\BrentSolverTest$1,0,(0/2),0,(0/2),-,,0,(0/9)
org\apache\commons\math4\analysis\solvers\BrentSolverTest,0,(0/7),0,(0/65),0,(0/32),0,(0/105)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$1,0,(0/2),0,(0/2),-,,0,(0/8)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$3,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$4,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$5,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$6,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$7,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest$8,0,(0/1),0,(0/11),-,,0,(0/1)
org\apache\commons\math4\analysis\solvers\FieldBracketingNthOrderBrentSolverTest,0,(0/7),0,(0/23),0,(0/12),0,(0/51)
org\apache\commons\math4\analysis\solvers\IllinoisSolverTest,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\solvers\LaguerreSolverTest,0,(0/6),0,(0/13),0,(0/2),0,(0/65)
org\apache\commons\math4\analysis\solvers\MullerSolver2Test,0,(0/5),0,(0/9),-,,0,(0/61)
org\apache\commons\math4\analysis\solvers\MullerSolverTest,0,(0/5),0,(0/9),-,,0,(0/62)
org\apache\commons\math4\analysis\solvers\NewtonRaphsonSolverTest,0,(0/3),0,(0/6),0,(0/2),0,(0/34)
org\apache\commons\math4\analysis\solvers\PegasusSolverTest,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\solvers\RegulaFalsiSolverTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\RegulaFalsiSolverTest,0,(0/4),0,(0/4),-,,0,(0/8)
org\apache\commons\math4\analysis\solvers\RiddersSolverTest,0,(0/5),0,(0/9),-,,0,(0/61)
org\apache\commons\math4\analysis\solvers\SecantSolverTest,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\analysis\solvers\UnivariateSolverUtilsTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\UnivariateSolverUtilsTest$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\analysis\solvers\UnivariateSolverUtilsTest,0,(0/23),0,(0/82),0,(0/38),0,(0/98)
org\apache\commons\math4\complex\ComplexFieldTest,0,(0/4),0,(0/7),0,(0/2),0,(0/8)
org\apache\commons\math4\complex\ComplexFormatTest,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\complex\ComplexTest$TestComplex,0,(0/3),0,(0/3),-,,0,(0/5)
org\apache\commons\math4\complex\ComplexTest,0,(0/140),0,(0/164),0,(0/16),0,(0/849)
org\apache\commons\math4\complex\ComplexUtilsTest,0,(0/17),0,(0/129),0,(0/80),0,(0/304)
org\apache\commons\math4\complex\FrenchComplexFormatTest,0,(0/3),0,(0/3),-,,0,(0/3)
org\apache\commons\math4\dfp\Decimal10,0,(0/17),0,(0/17),-,,0,(0/25)
