Class_path,Method_name,Method_len,Method_flags,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through,Is_constructor
org/apache/tika/batch/BatchProcess.java,<clinit>,165, static,1062,0,164,1,-,exit,-,-,-,-,-,-,-,-,61,no,no
org/apache/tika/batch/BatchProcess.java,<init>,47, private,1063,0,46,8,-,exit,-,-,-,-,-,-,-,-,360,no,yes
org/apache/tika/batch/BatchProcess.java,<init>,6, synthetic,1064,0,5,8,-,exit,-,-,-,-,-,-,-,-,360,no,yes
org/apache/tika/batch/BatchProcess.java,<init>,10, private,1065,0,9,8,-,exit,-,-,-,-,-,-,-,-,552,no,yes
org/apache/tika/batch/BatchProcess.java,call,126, public,1066,0,12,8,-,cond,67,125,0,13,25,8,-,-,556,no,no
org/apache/tika/batch/BatchProcess.java,call,126, public,1068,13,25,8,-,goto,-,-,-,-,-,-,40,0,571,no,no
org/apache/tika/batch/BatchProcess.java,call,126, public,1074,26,39,8,-,goto,-,-,-,-,-,-,67,8,571,no,no
org/apache/tika/batch/BatchProcess.java,call,126, public,1074,40,53,8,-,cond,0,12,0,54,66,0,-,-,571,no,no
org/apache/tika/batch/BatchProcess.java,call,126, public,1072,54,66,0,-,goto,-,-,-,-,-,-,67,0,571,no,no
org/apache/tika/batch/BatchProcess.java,call,126, public,1073,67,125,0,areturn,exit,-,-,-,-,-,-,-,-,571,no,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1075,0,15,8,-,methenter,-,-,-,-,-,-,-,-,575,no,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1081,16,24,8,-,cond,66,66,8,25,50,24,-,-,581,yes,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1077,25,50,24,-,cond,63,65,24,51,62,0,-,-,581,no,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1079,51,62,0,-,-,-,-,-,-,-,-,-,-,581,no,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1082,63,65,0,-,goto,-,-,-,-,-,-,16,24,581,yes,no
org/apache/tika/batch/BatchProcess.java,checkForTimedOutConsumers,67, private,1082,66,66,0,return,exit,-,-,-,-,-,-,-,-,581,no,no
org/apache/tika/batch/BatchProcess.java,call,5, public bridge synthetic,1083,0,4,8,-,exit,-,-,-,-,-,-,-,-,552,no,no
org/apache/tika/batch/BatchProcess.java,<init>,6, synthetic,1084,0,5,8,-,exit,-,-,-,-,-,-,-,-,552,no,yes
org/apache/tika/batch/BatchProcess.java,access$200,5, static synthetic,1085,0,4,8,-,exit,-,-,-,-,-,-,-,-,552,no,no
org/apache/tika/batch/BatchProcess.java,<init>,15, private,1086,0,14,8,-,exit,-,-,-,-,-,-,-,-,589,no,yes
org/apache/tika/batch/BatchProcess.java,getTimedOutCount,5, protected,1087,0,4,0,-,exit,-,-,-,-,-,-,-,-,594,no,no
org/apache/tika/batch/BatchProcess.java,<init>,7, synthetic,1088,0,6,8,-,exit,-,-,-,-,-,-,-,-,584,no,yes
org/apache/tika/batch/BatchProcessDriverCLI.java,<init>,118, public,1248,0,117,13,-,exit,-,-,-,-,-,-,-,-,78,no,yes
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1249,0,9,13,-,methenter,-,-,-,-,-,-,-,-,83,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1260,10,15,13,-,cond,101,119,12,16,30,173,-,-,101,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1251,16,30,173,-,cond,86,94,171,31,38,2,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1253,31,38,2,-,cond,49,67,2,39,48,0,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1255,39,48,0,athrow,exit,-,-,-,-,-,-,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1254,49,67,2,-,goto,-,-,-,-,-,-,80,1,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1259,68,79,1,-,exit,-,-,-,-,-,-,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1259,80,85,1,-,goto,-,-,-,-,-,-,95,1,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1259,86,94,1,-,-,-,-,-,-,-,-,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1261,95,100,171,-,goto,-,-,-,-,-,-,10,172,101,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,tryToReadMaxRestarts,120, private,1261,101,119,171,areturn,exit,-,-,-,-,-,-,-,-,101,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1262,0,30,12,-,methenter,-,-,-,-,-,-,-,-,106,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1301,31,37,12,-,cond,527,551,0,38,94,64,-,-,177,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1264,38,94,64,-,goto,-,-,-,-,-,-,106,20,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1299,95,105,44,-,-,-,-,-,-,-,-,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1302,106,154,44,-,goto,-,-,-,-,-,-,166,64,177,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1300,155,165,0,-,-,-,-,-,-,-,-,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1303,166,211,0,-,cond,249,256,55,212,215,9,-,-,177,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1268,212,215,9,-,cond,249,256,0,216,248,9,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1270,216,248,9,-,goto,-,-,-,-,-,-,31,9,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1269,249,256,0,-,cond,343,346,55,257,336,0,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1273,257,336,0,-,cond,340,342,0,337,339,0,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1275,337,339,0,-,goto,-,-,-,-,-,-,527,0,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1274,340,342,0,-,goto,-,-,-,-,-,-,524,0,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1274,343,346,0,-,cond,473,476,35,347,356,20,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1279,347,356,20,-,cond,473,476,3,357,363,17,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1281,357,363,17,-,cond,473,476,8,364,412,9,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1283,364,412,9,-,cond,426,452,0,413,425,9,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1285,413,425,9,-,goto,-,-,-,-,-,-,453,9,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1284,426,452,0,-,-,-,-,-,-,-,-,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1304,453,466,0,-,cond,470,472,8,467,469,1,-,-,177,yes,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1288,467,469,1,-,goto,-,-,-,-,-,-,527,1,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1287,470,472,8,-,goto,-,-,-,-,-,-,524,8,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1287,473,476,8,-,cond,524,526,35,477,483,11,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1292,477,483,11,-,cond,494,523,8,484,493,3,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1294,484,493,3,-,cond,524,526,0,494,523,3,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1296,494,523,3,-,goto,-,-,-,-,-,-,527,11,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1295,524,526,0,-,goto,-,-,-,-,-,-,31,43,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,execute,552, public,1295,527,551,0,return,exit,-,-,-,-,-,-,-,-,177,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,shutdownDriverNow,124, private,1305,0,6,12,-,cond,116,123,0,7,8,12,-,-,180,no,no
org/apache/tika/batch/BatchProcessDriverCLI.java,shutdownDriverNow,124, private,1307,7,8,12,-,-,-,-,-,-,-,-,-,-,203,no,no
