Class_path,Method_name,Method_len,Method_access,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47,2,5093,42,45,1,-,-,-,-,-,-,-,-,-,-,128,no
org/apache/tika/TestRereadableInputStream.java,doACloseBehaviorTest,47,2,5094,46,46,1,-,exit,-,-,-,-,-,-,-,-,128,yes
org/apache/tika/TestRereadableInputStream.java,<init>,11,1,5056,0,10,5,-,exit,-,-,-,-,-,-,-,-,138,no
org/apache/tika/TestRereadableInputStream.java,close,10,1,5057,0,9,5,-,exit,-,-,-,-,-,-,-,-,143,no
org/apache/tika/TestRereadableInputStream.java,isClosed,5,1,5058,0,4,4,-,exit,-,-,-,-,-,-,-,-,148,no
org/apache/tika/TikaDetectionTest.java,<init>,16,1,5095,0,15,1,-,exit,-,-,-,-,-,-,-,-,23,no
org/apache/tika/TikaDetectionTest.java,testHttpServerFileExtensions,12395,1,5096,0,12394,1,-,exit,-,-,-,-,-,-,-,-,42,no
org/apache/tika/TikaIT.java,<init>,5,1,5097,0,4,0,-,exit,-,-,-,-,-,-,-,-,24,no
org/apache/tika/TikaIT.java,testToString,25,1,5098,0,24,0,-,exit,-,-,-,-,-,-,-,-,28,no
org/apache/tika/TikaTest.java,<init>,5,1,17082,0,4,260,-,exit,-,-,-,-,-,-,-,-,50,no
org/apache/tika/TikaTest.java,getResourceAsFile,83,1,17083,0,12,38,-,cond,25,58,0,13,24,38,-,-,62,no
org/apache/tika/TikaTest.java,getResourceAsFile,83,1,17085,13,24,38,areturn,exit,-,-,-,-,-,-,-,-,73,no
org/apache/tika/TikaTest.java,getResourceAsFile,83,1,17084,25,58,0,-,cond,81,82,0,59,80,0,-,-,73,no
org/apache/tika/TikaTest.java,getResourceAsFile,83,1,17087,59,80,0,-,-,-,-,-,-,-,-,-,-,73,no
org/apache/tika/TikaTest.java,getResourceAsFile,83,1,17088,81,82,0,-,exit,-,-,-,-,-,-,-,-,73,yes
org/apache/tika/TikaTest.java,getResourceAsStream,37,1,17089,0,12,128,-,cond,35,36,128,13,34,0,-,-,78,no
org/apache/tika/TikaTest.java,getResourceAsStream,37,1,17091,13,34,0,-,-,-,-,-,-,-,-,-,-,82,no
org/apache/tika/TikaTest.java,getResourceAsStream,37,1,17092,35,36,0,-,exit,-,-,-,-,-,-,-,-,82,yes
org/apache/tika/TikaTest.java,assertContains,32,9,17093,0,31,961,-,exit,-,-,-,-,-,-,-,-,86,no
org/apache/tika/TikaTest.java,assertContains,34,9,17094,0,33,5,-,exit,-,-,-,-,-,-,-,-,89,no
org/apache/tika/TikaTest.java,assertNotContained,32,9,17095,0,31,24,-,exit,-,-,-,-,-,-,-,-,93,no
org/apache/tika/TikaTest.java,assertNotContained,34,9,17096,0,33,5,-,exit,-,-,-,-,-,-,-,-,96,no
org/apache/tika/TikaTest.java,getXML,36,4,17097,0,35,0,-,exit,-,-,-,-,-,-,-,-,110,no
org/apache/tika/TikaTest.java,getXML,42,4,17098,0,41,58,-,exit,-,-,-,-,-,-,-,-,114,no
org/apache/tika/TikaTest.java,getXML,69,4,17099,0,59,74,-,exit,-,-,-,-,-,-,-,-,118,no
org/apache/tika/TikaTest.java,getXML,69,4,17100,60,68,6,-,exit,-,-,-,-,-,-,-,-,127,no
org/apache/tika/TikaTest.java,getText,45,1,17101,0,29,110,-,goto,-,-,-,-,-,-,39,98,136,no
org/apache/tika/TikaTest.java,getText,45,1,17103,30,38,12,-,exit,-,-,-,-,-,-,-,-,142,no
org/apache/tika/TikaTest.java,getText,45,1,17103,39,44,12,areturn,exit,-,-,-,-,-,-,-,-,142,no
org/apache/tika/TikaTest.java,getText,15,1,17104,0,14,7,-,exit,-,-,-,-,-,-,-,-,146,no
org/apache/tika/TikaTest.java,getText,15,1,17105,0,14,28,-,exit,-,-,-,-,-,-,-,-,150,no
org/apache/tika/TikaTest.java,getText,21,1,17106,0,20,11,-,exit,-,-,-,-,-,-,-,-,154,no
org/apache/tika/TikaTest.java,<init>,38,1,17076,0,37,47,-,exit,-,-,-,-,-,-,-,-,167,no
org/apache/tika/TikaTest.java,<init>,32,1,17077,0,31,2,-,exit,-,-,-,-,-,-,-,-,171,no
org/apache/tika/TikaTest.java,handle,37,1,17078,0,12,275,-,cond,14,36,244,13,13,31,-,-,178,no
org/apache/tika/TikaTest.java,handle,37,1,17080,13,13,31,return,exit,-,-,-,-,-,-,-,-,183,no
org/apache/tika/TikaTest.java,handle,37,1,17079,14,36,244,return,exit,-,-,-,-,-,-,-,-,183,no
org/apache/tika/TikaTest.java,<init>,15,1,17081,0,14,68,-,exit,-,-,-,-,-,-,-,-,103,no
org/apache/tika/TypeDetectionBenchmark.java,<init>,5,1,5099,0,4,0,-,exit,-,-,-,-,-,-,-,-,27,no
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5100,0,8,0,-,cond,52,63,0,9,17,0,-,-,32,no
